date,new_cases,new_deaths,total_cases,total_deaths,stringency_index,containment_health_index,new_cases_ma,new_deaths_ma,negative_news_intensity
2021-05-11,27538,408,32406711,581045,60.65,66.67,38848.28571428572,621.7142857142857,0.3322796136299603
2021-05-12,24383,395,32431094,581440,60.65,66.67,37624.0,611.0,0.32895372270231604
2021-05-13,33073,598,32464167,582038,60.65,66.67,36269.857142857145,600.1428571428571,0.33811441752362453
2021-05-14,35784,679,32499951,582717,60.65,66.67,35018.857142857145,595.1428571428571,0.3409722591416415
2021-05-15,40435,583,32540386,583300,60.65,66.67,34696.42857142857,582.5714285714286,0.3458751810764983
2021-05-16,35116,701,32575502,584001,60.65,64.88,33335.71428571428,567.5714285714286,0.340268076846977
2021-05-17,29837,442,32605339,584443,60.65,64.88,32309.428571428572,543.7142857142857,0.3347031392219267
2021-05-18,21375,437,32626714,584880,60.65,64.88,31429.0,547.8571428571429,0.3257827940461025
2021-05-19,19453,362,32646167,585242,60.65,64.88,30724.714285714286,543.1428571428571,0.32375668870127455
2021-05-20,27639,610,32673806,585852,60.65,64.88,29948.428571428572,544.8571428571429,0.3323860843062494
2021-05-21,27491,583,32701297,586435,60.65,64.88,28763.714285714286,531.1428571428571,0.33223006786970694
2021-05-22,27948,541,32729245,586976,60.65,64.88,26979.85714285714,525.1428571428571,0.33271182132578725
2021-05-23,27866,649,32757111,587625,56.02,61.9,25944.14285714286,517.7142857142857,0.3094753529883736
2021-05-24,22224,409,32779335,588034,56.02,61.9,24856.571428571428,513.0,0.30352775342774957
2021-05-25,16030,287,32795365,588321,56.02,61.9,24093.0,491.57142857142856,0.29699825472542685
2021-05-26,14761,555,32810126,588876,56.02,61.9,23422.714285714286,519.1428571428571,0.2956605191985867
2021-05-27,24571,518,32834697,589394,56.02,61.9,22984.428571428572,506.0,0.30600187894508113
2021-05-28,23475,517,32858172,589911,56.02,61.9,22410.714285714286,496.57142857142856,0.3048465139825778
2021-05-29,21970,545,32880142,590456,56.02,61.9,21556.714285714286,497.14285714285717,0.3032599954893592
2021-05-30,24780,703,32904922,591159,56.02,61.9,21115.85714285714,504.85714285714283,0.3062221994534417
2021-05-31,15628,301,32920550,591460,56.02,61.9,20173.571428571428,489.42857142857144,0.29657448035049405
2021-06-01,12350,254,32932900,591714,56.02,61.9,19647.85714285714,484.7142857142857,0.2931189271141017
2021-06-02,9408,232,32942308,591946,56.02,61.9,18883.14285714286,438.57142857142856,0.2900175733552652
2021-06-03,8935,332,32951243,592278,56.02,61.9,16649.428571428572,412.0,0.2895189532573965
2021-06-04,16048,492,32967291,592770,56.02,61.9,15588.42857142857,408.42857142857144,0.29701722969743877
2021-06-05,18151,478,32985442,593248,56.02,61.9,15042.857142857143,398.85714285714283,0.2992341389274976
2021-06-06,18592,586,33004034,593834,56.02,61.9,14158.857142857143,382.14285714285717,0.2996990257417896
2021-06-07,14734,394,33018768,594228,56.02,61.9,14031.142857142857,395.42857142857144,0.29563205674056886
2021-06-08,11084,423,33029852,594651,56.02,61.9,13850.285714285714,419.57142857142856,0.29178435408259695
2021-06-09,9898,322,33039750,594973,56.02,61.9,13920.285714285714,432.42857142857144,0.290534114260034
2021-06-10,14314,313,33054064,595286,50.65,58.46,14688.714285714286,429.7142857142857,0.2683393222709435
2021-06-11,19640,387,33073704,595673,50.64,58.45,15201.857142857143,414.7142857142857,0.2739037973592806
2021-06-12,15924,382,33089628,596055,50.63,58.44,14883.714285714286,401.0,0.2699365413092875
2021-06-13,13971,403,33103599,596458,50.62,58.44,14223.57142857143,374.85714285714283,0.267827748549028
2021-06-14,12350,208,33115949,596666,58.94,63.78,13883.0,348.2857142857143,0.3077189358402217
2021-06-15,8721,152,33124670,596818,58.93,63.78,13545.42857142857,309.57142857142856,0.3038433623526305
2021-06-16,8275,199,33132945,597017,58.92,63.77,13313.57142857143,292.0,0.3033231964158131
2021-06-17,12616,316,33145561,597333,58.91,63.76,13071.0,292.42857142857144,0.3078493486713761
